LogSequence,Integration_MethodName,TriggerType,PipelineName,TriggerId,TriggerName,TriggerTime,SourceType,SourceSchema,SourceName,TargetType,TargetSchema,TargetName,RowsRead,RowsWritten,ExecutionRunId,ExecutionStatus,ExecutionStartTime,ExecutionEndTime,ExecutionRunDurationInSecs,ErrorCode,ErrorName,ErrorDescription,ErrorSeverity,ErrorCategory
20,Azure Data Factory,Manual,pl_DWH_Load_Staging,6e0d8cc7fcff4ac5a0f6f91bd37d8179,Manual,2024-03-13T13:40:26.6857594Z,D365_Entity,D365.ASSETS,MDM_ASSETS,Azure SQL Table,STAGING,MDM_ASSETS,62169,62169,697bdce2-ed15-4f4a-a926-887e72abd028,Success,2024-03-13 08:40:27.727,2024-03-13 08:43:26.657,178,NULL,NULL,NULL,NULL,NULL
21,Azure Data Factory,Manual,pl_DWH_Ld_DOT_Staging,3a8881cf21cd433faf01c3199df9c6ea,Manual,2024-03-13T21:00:41.5437193Z,D365_Entity,D365.ASSETS,MDM_ASSETS,Azure SQL Table,STAGING,MDM_ASSETS,62170,62170,2ec53ef8-aa1a-405e-aeb2-710e8feabe97,Success,2024-03-13 16:00:43.557,2024-03-13 16:04:15.407,211,NULL,NULL,NULL,NULL,NULL
22,Azure Data Factory,Manual,pl_DWH_Ld_DOT_Staging,eafdb972e8ef4c05965ece9d44391d72,Manual,2024-03-13T21:13:53.286713Z,D365_Entity,D365.ASSETS,MDM_ASSETS,Azure SQL Table,STAGING,MDM_ASSETS,62170,62170,31d58a3d-ddb1-4abe-864a-ca12a9ca3f9e,Success,2024-03-13 16:13:54.940,2024-03-13 16:17:16.307,201,NULL,NULL,NULL,NULL,NULL
19,Azure Data Factory,Manual,pl_DWH_Load_Staging,a3bbac1df5234643bc757ab6fec74ad1,Manual,2024-03-13T04:18:30.2446626Z,D365_Entity,D365.ASSETS,MDM_ASSETS,Azure SQL Table,STAGING,MDM_ASSETS,62169,62169,ebce0a63-458c-4ac3-a1ec-652b0c69e553,Success,2024-03-12 23:18:32.360,2024-03-12 23:21:42.860,190,NULL,NULL,NULL,NULL,NULL
